title,author,publisher,date,format,contrib_personal,contrib_corporate,location
"Howl at the moon, shoot out the lights : a book /","Sampson, Mary Ann.","One-Eye Opera Co.],",1997.,[17] p. : all col. ill. ;,,OEOCO Press.,SOUTHCV-OV N7433.4 .S25 H69 1997
How bat entered English /,"Sharp, Sharon A.","Sharon A. Sharp],",2010.,1 v. (unpaged) : ill. (some col.) ;,,,SOUTHCV-OV N7433.4 .S43 H69 2010
Subject verb object /,"Knudson, Ellen.","Crooked Letter Press,",2012.,1 wheel chart : col. ill. ;,,Crooked Letter Press.,SOUTHCV-OV N7433.4 .K6258 S83 2012
Conversation with the supplicant /,"Kafka, Franz, 1883-1924.","Janus Press,",1971.,[39] p. : 8 ill. ;,"Muir, Willa, 1890-1970. Muir, Edwin, 1887-1959. Van Vliet, Claire. Hanche-Olsen, Eystein. Hollander, Annette.",Janus Press.,SEVIER-OV PT2621 .A26 G4813 1971
Presence /,"Sharp, Sharon A.","Curious Pursuits Press,",[2009].,16 unnumbered pages : color illustrations ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 P74 2009
"Tearings, and other poems /","DeLong, Jesse.","Curly Head Press,",[2010],[15] p. : color illustrations ;,"Rossow, Sonja Greentree.",Curly Head Press.,SOUTHERNCV PS3604 .E4469 T43 2010
Birch /,"Rossow, Sonja Greentree.","Curly Head Press,",2010.,[10] p. : chiefly col. ill. ;,,Curly Head Press.,SOUTHERNCV N7433.4 .R67 B57 2010
Holding down the fort : the joys and heartaches of being a military spouse /,"Rossow, Sonja Greentree.","Curly Head Press,",[2011],[63] p. : ill. ;,,Curly Head Press.,SOUTHERNCV N7433.4 .R67 H65 2011
1970 : the four weddings /,"Schick, Ashley L.","Capybara Press,",2009.,[8] p. : col. ill. ;,,Capybara Press.,SOUTHERNCV N7433.4 .S354 A18 2009
A natural history of believability : the believability of natural history /,"Ray, Michelle (Book artist)","[M. Ray],",2012.,[15] p. : col. ill. ;,,,SOUTHERNCV N7433.4 .R387 N38 2012
Three ships.,"Ray, Michelle (Book artist)","Michelle Ray,",2012.,1 v. : col. ill. ;,,,SOUTHERNCV N7433.4 .R387 T49 2012
Beware of rising waters /,"Sampson, Mary Ann.","The One-Eye Opera Co.,",2005.,[12] p. : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 B493 2005
